id,date,type,city,state,ideology,group,description,image
339,11/2016,Anti-Semitic Incident:Vandalism,San Diego,CA,,,"""Heil Trump"" and swastika spray-painted at a shuttle stop",
352,11/2016,Anti-Semitic Incident:Harassment,San Luis Obispo,CA,,,"Daily newspaper received anti-Semitic letter-to-the-editor email accusing the editor of being a ""Zionist spy.""",
353,11/2016,Anti-Semitic Incident:Vandalism,Santa Monica,CA,,,Swastika carved into the passenger side of a vehicle.,
362,11/2016,Anti-Semitic Incident:Vandalism,Van Nuys,CA,,,"Swastika and ""Fuck you"" found graffitied on vehicle.",
368,11/2016,Anti-Semitic Incident:Vandalism,Aspen,CO,,,Vandalism that included swastika graffiti discovered on a playground.,
372,11/2016,Anti-Semitic Incident:Harassment,Brooklyn,NY,,,Man received anti-Semitic hate mail.,
376,11/2016,Anti-Semitic Incident:Harassment,Denver,CO,,,Individual made disparaging and anti-Semitic comments about Jews.,
389,11/2016,Anti-Semitic Incident:Vandalism,Middlebury,CT,,,"Bridge spray-painted with swastika, SS symbol, ""Trump"" and WP (white power).",
394,11/2016,Anti-Semitic Incident:Vandalism,Ridgefield,CT,,,Swastika spray-painted in town park.,
401,11/2016,Anti-Semitic Incident:Harassment,Washington,DC,,,"Emcee at movie theater made anti-Semitic remarks such as ""Fuck the Jews.""",
403,11/2016,Anti-Semitic Incident:Harassment,Washington,DC,,,Anti-Semitic demonstration outside White House and nearby hotel included desecration of Israeli flag.,
404,11/2016,Anti-Semitic Incident:Vandalism,Brooklyn,NY,,,Building stairwell vandalized with large swastika.,
406,11/2016,Anti-Semitic Incident:Vandalism,Brooklyn,NY,,,Street vandalized with swastika.,
414,11/2016,Anti-Semitic Incident:Harassment,Browns Mills,NJ,,,"Catholic priest made anti-Semitic remarks in his sermon, including ""Children had no standing in the Jewish community,"" and ""Jews would send their children out into the community to be snoops.""",
423,11/2016,Anti-Semitic Incident:Harassment,Burke,VA,,,"High school football players and their families received a flood of Nazi, pornographic, and anti-Semitic hate messages.",
457,11/2016,Anti-Semitic Incident:Harassment,Canoga Park,CA,,,Confidential,
464,11/2016,Anti-Semitic Incident:Vandalism,Carmel Valley,CA,,,Mezuzah damaged and anti-Semitic message left on residence door.,
475,11/2016,Anti-Semitic Incident:Harassment,St. Petersburg,FL,,,"Man wearing a yarmulke approached by man in a market who said ""Trump is going to finish what Hitler started.""",
476,11/2016,Anti-Semitic Incident:Harassment,St. Petersburg,FL,,,"Woman threw a rock and yelled ""Trump is going to burn you all"" at an individual wearing a yarmulke.",
477,11/2016,Anti-Semitic Incident:Harassment,Atlanta,GA,,,Man wearing a yarmulke had money thrown at him.,
480,11/2016,Anti-Semitic Incident:Harassment,Center Valley,PA,,,High school students performed Nazi salutes and vandalized school property with swastikas.,
491,11/2016,Anti-Semitic Incident:Harassment,Atlanta,GA,,,"Man canvassed a residential neighborhood saying he wanted to ""kill Zionist Jews.""",
492,11/2016,Anti-Semitic Incident:Harassment,Charleston,SC,,,Letters targeting synagogue sent to local businesses.,
518,11/2016,Anti-Semitic Incident:Harassment,Cherry Hill,NJ,,,"Middle school student victim of anti-Semitic harassment, called a ""dirty Jew.""",
